host_id,host_name,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value
22478704,L Be,Brooklyn,NY,11211,United States,40.71332286,-73.93629172,Loft,Entire home/apt,4,1,0,2,Real Bed,,$149.00 ,122,2,100,10,9,10
6635885,Robert,New York,NY,10012,United States,40.7280078,-74.00094807,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$400.00 ,312,0,,,,
3699311,Alejandro,New York,NY,10038,United States,40.70776341,-74.00196747,Apartment,Private room,2,1.5,1,2,Real Bed,,$150.00 ,365,0,,,,
6654717,Shahla,Brooklyn,NY,11211,United States,40.71317202,-73.93690763,Apartment,Entire home/apt,5,1.5,1,2,Real Bed,,$275.00 ,1,3,99,10,9,10
4431637,Rebecca,New York,NY,10025,United States,40.79456326,-73.96828413,Apartment,Private room,1,1,1,1,Real Bed,,$150.00 ,365,1,94,8,10,10
101689,Sasha,Brooklyn,NY,11215,United States,40.67660167,-73.98390418,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$139.00 ,272,1,93,8,10,8
616927,Joe,New York,NY,10007,United States,40.7160687,-74.00782339,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$275.00 ,285,5,95,10,10,10
350553,Stav,New York,NY,10027,United States,40.81289807,-73.95213176,Apartment,Private room,2,1,1,1,Real Bed,,$60.00 ,298,3,80,6,9,9
97476,Sebastian,Brooklyn,NY,11211,United States,40.70892155,-73.96097463,Apartment,Private room,2,1,1,1,Real Bed,,$60.00 ,353,71,94,9,9,9
9215509,Jj,Brooklyn,NY,11205,United States,40.68915093,-73.96535848,House,Entire home/apt,4,1,1,1,Real Bed,,$150.00 ,365,14,94,10,10,9
14538812,Joshua,New York,NY,10030,United States,40.81333633,-73.94587011,Apartment,Private room,2,1,1,1,Real Bed,,$60.00 ,87,16,96,10,9,9
11693793,Jessica,New York,NY,10023,United States,40.77728737,-73.98097763,Apartment,Entire home/apt,2,1,0,1,Real Bed,,$250.00 ,314,0,,,,
1153352,Evan,New York,NY,10002,United States,40.7199267,-73.98919368,Apartment,Entire home/apt,6,1,2,2,Real Bed,,$145.00 ,358,4,95,9,10,10
9646158,Frederick,Brooklyn,NY,11215,United States,40.66878586,-73.98226159,Apartment,Private room,2,1,1,1,Real Bed,,$65.00 ,361,27,88,9,10,9
330660,J2,New York,NY,10011,United States,40.74684398,-74.00205523,Apartment,Private room,2,1,1,1,Real Bed,,$125.00 ,78,17,94,10,10,9
331589,Melissa,Brooklyn,NY,11217,United States,40.68208287,-73.98614377,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$130.00 ,1,41,96,9,9,10
1096057,Marielle,New York,NY,10010,United States,40.73972574,-73.98945956,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$350.00 ,365,0,,,,
921046,Anne + Daniel,New York,NY,10012,United States,40.72437725,-73.99647351,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$225.00 ,274,4,100,10,10,10
4132505,Adam,New York,NY,10011,United States,40.73230575,-73.99672089,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$219.00 ,107,17,97,10,10,10
12010916,Andrew,New York,NY,10011,United States,40.74389823,-74.00197266,Apartment,Entire home/apt,3,1,2,1,Real Bed,,$209.00 ,229,6,87,8,10,9
1264213,Flo,New York,NY,10002,United States,40.72218018,-73.98432975,Apartment,Entire home/apt,3,1,2,1,Real Bed,800,$250.00 ,364,2,97,10,10,9
1392974,Patrick,New York,NY,10013,United States,40.72193995,-74.00095429,Apartment,Entire home/apt,4,1,1,1,Real Bed,,$200.00 ,363,37,87,7,9,8
199330,Purva,New York,NY,10025,United States,40.80151571,-73.9586226,Apartment,Entire home/apt,3,1,1,2,Real Bed,1000,$149.00 ,0,36,95,10,9,9
12213079,Melissa,New York,NY,10028,United States,40.77732814,-73.9519571,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$150.00 ,62,0,,,,
599076,Stephanie,Brooklyn,NY,11237,United States,40.70471893,-73.92130977,Apartment,Private room,6,1,1,2,Real Bed,,$250.00 ,363,2,89,10,8,9
20082466,Ramtin,New York,NY,10027,United States,40.81414553,-73.96051433,Apartment,Private room,1,1,1,2,Real Bed,,$50.00 ,307,0,,,,
5608267,Shannon,Brooklyn,NY,11205,United States,40.6921529,-73.9598921,Apartment,Private room,2,1,1,1,Real Bed,,$60.00 ,343,27,91,9,9,9
2702260,Latasha,New York,NY,10026,United States,40.79864744,-73.95405242,Apartment,Private room,1,1,1,1,Real Bed,,$65.00 ,362,20,98,10,9,9
3881311,Jeanann,Brooklyn,NY,11211,United States,40.7105862,-73.94782826,Apartment,Private room,2,1,1,1,Real Bed,,$95.00 ,246,44,94,9,9,9
1386519,David,New York,NY,10010,United States,40.7479741,-73.99302396,Apartment,Private room,3,1,1,1,Real Bed,1300,$200.00 ,259,8,95,10,10,10
9396478,Tatyana,New York,NY,10028,United States,40.77487457,-73.95026251,Apartment,Entire home/apt,2,1,0,1,Real Bed,,$150.00 ,338,0,,,,
6781477,Joseph,Brooklyn,NY,11221,United States,40.69177597,-73.93229773,Apartment,Entire home/apt,4,1,1,2,Real Bed,,$95.00 ,363,37,79,8,7,8
3411265,Litsa,New York,NY,10024,United States,40.7831962,-73.97784602,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$195.00 ,118,3,98,10,10,10
22057975,Kevin,Brooklyn,NY,11221,United States,40.69271083,-73.92535011,Apartment,Entire home/apt,5,1,2,3,Real Bed,,$170.00 ,364,5,100,10,9,10
17173536,Andrew,New York,NY,10010,United States,40.73498979,-73.98032377,Apartment,Private room,1,1,1,1,Real Bed,,$100.00 ,164,0,,,,
2495836,Sofia,Brooklyn,NY,11211,United States,40.70762077,-73.96763822,Loft,Entire home/apt,3,1,1,1,Real Bed,,$450.00 ,355,11,98,10,10,9
3218639,Allie + Matt,New York,NY,10014,United States,40.73303812,-74.00478644,Apartment,Entire home/apt,4,1,2,2,Real Bed,,$300.00 ,224,2,96,8,10,9
17426845,Candice,New York,NY,10003,United States,40.73101615,-73.9931823,Apartment,Entire home/apt,3,1,1,1,Real Bed,,$369.00 ,365,4,90,9,10,7
2753545,Michelle,New York,NY,10016,United States,40.74825354,-73.97154998,Apartment,Private room,2,1,1,1,Real Bed,,$118.00 ,365,12,95,8,10,9
5080439,Judith,New York,NY,10039,United States,40.8249946,-73.94238358,Apartment,Private room,2,1,1,2,Real Bed,,$80.00 ,365,4,100,10,10,10
10575875,Mailys,New York,NY,10003,United States,40.72800965,-73.99144523,Apartment,Entire home/apt,2,1,1,1,Real Bed,,$149.00 ,44,0,,,,
