city,zipcode,property_type,room_type,bed_type,location_group,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,price_per_accommodation
105,15,14,1,5,11,40.72371772,-74.00276736,2.0,1.5,1.0,1.0,199.0,277.0,99.5
33,99,1,1,5,11,40.68468155,-73.99145245,3.0,1.0,0.0,1.0,150.0,355.0,50.0
33,104,1,2,5,12,40.69133688,-73.90579996,2.0,1.0,1.0,1.0,50.0,225.0,25.0
105,37,1,2,5,14,40.79793032,-73.93611952,1.0,1.0,1.0,1.0,200.0,365.0,200.0
105,3,1,2,5,11,40.73263325,-73.98973632,1.0,1.0,1.0,1.0,88.0,243.0,88.0
105,16,1,1,5,11,40.73352624,-74.0047484,2.0,1.0,1.0,2.0,160.0,187.0,80.0
33,112,1,2,5,8,40.66413014,-73.97803073,2.0,1.0,1.0,1.0,85.0,354.0,42.5
33,103,1,2,5,11,40.69277714,-73.93697204,1.0,1.0,1.0,1.0,70.0,14.0,70.0
105,15,1,1,5,11,40.71605239,-74.00523428,2.0,1.0,1.0,1.0,170.0,176.0,85.0
105,20,1,2,5,14,40.76526769,-73.98866384,1.0,1.0,1.0,1.0,108.0,365.0,108.0
105,16,1,1,5,11,40.73512869,-74.00415648,3.0,1.0,1.0,1.0,295.0,239.0,98.33333333333333
105,1,1,2,5,11,40.74709903,-73.99470335,5.0,1.5,1.0,3.0,320.0,365.0,64.0
105,34,1,1,5,17,40.84184975,-73.93737345,4.0,1.0,1.0,1.0,125.0,359.0,31.25
120,93,1,1,5,15,40.75532218,-73.91603246,4.0,1.0,2.0,2.0,99.0,317.0,24.75
33,108,1,2,5,11,40.7069533,-73.9560696,1.0,1.0,1.0,1.0,55.0,336.0,55.0
105,29,1,1,5,14,40.77924244,-73.9555954,8.0,2.0,3.0,4.0,550.0,357.0,68.75
105,1,1,3,5,11,40.74687821,-74.00168934,2.0,2.0,1.0,1.0,98.0,365.0,49.0
31,77,11,2,5,18,40.88622677,-73.90406044,3.0,1.0,1.0,2.0,50.0,364.0,16.666666666666668
105,13,1,2,5,11,40.74262809,-74.00428477,2.0,1.0,1.0,1.0,150.0,165.0,75.0
105,28,1,1,5,14,40.80908371,-73.94221663,6.0,3.0,2.0,4.0,1200.0,323.0,200.0
105,16,1,1,5,11,40.73435221,-74.00798589,2.0,1.0,1.0,1.0,189.0,252.0,94.5
105,38,1,2,5,14,40.75831835,-73.9900318,2.0,1.0,1.0,1.0,120.0,164.0,60.0
